Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Qatar,QAT,Female,SE.TER.ENRR.FE,2011,34.0203694113585
Qatar,QAT,Male,SE.TER.ENRR.MA,2011,5.92023086531421
Saudi Arabia,SAU,Total,SE.TER.ENRR,2011,28.9419498443604
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2011,40.7246208190918
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2011,22.1884708404541
United Arab Emirates,ARE,Total,SE.TER.ENRR,2011,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2011,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2011,
Bahrain,BHR,Total,SE.TER.ENRR,2012,47.6811679519633
Bahrain,BHR,Female,SE.TER.ENRR.FE,2012,66.3114397564158
Bahrain,BHR,Male,SE.TER.ENRR.MA,2012,33.4489418703661
Kuwait,KWT,Total,SE.TER.ENRR,2012,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2012,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2012,
Oman,OMN,Total,SE.TER.ENRR,2012,
Oman,OMN,Female,SE.TER.ENRR.FE,2012,
Oman,OMN,Male,SE.TER.ENRR.MA,2012,
Qatar,QAT,Total,SE.TER.ENRR,2012,12.2866942772156
Qatar,QAT,Female,SE.TER.ENRR.FE,2012,35.5400366555015
Qatar,QAT,Male,SE.TER.ENRR.MA,2012,5.52810433504776
Saudi Arabia,SAU,Total,SE.TER.ENRR,2012,36.0444107055664
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2012,47.4466896057129
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2012,29.2245693206787
United Arab Emirates,ARE,Total,SE.TER.ENRR,2012,
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2012,
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2012,
Bahrain,BHR,Total,SE.TER.ENRR,2013,44.1274788546413
Bahrain,BHR,Female,SE.TER.ENRR.FE,2013,63.5043297161022
Bahrain,BHR,Male,SE.TER.ENRR.MA,2013,29.2627551556686
Kuwait,KWT,Total,SE.TER.ENRR,2013,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2013,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2013,
Oman,OMN,Total,SE.TER.ENRR,2013,35.149615885003
Oman,OMN,Female,SE.TER.ENRR.FE,2013,42.6161270121929
Oman,OMN,Male,SE.TER.ENRR.MA,2013,28.9420815366523
Qatar,QAT,Total,SE.TER.ENRR,2013,14.8707295209095
Qatar,QAT,Female,SE.TER.ENRR.FE,2013,43.4209667949638
Qatar,QAT,Male,SE.TER.ENRR.MA,2013,6.90627843494086
Saudi Arabia,SAU,Total,SE.TER.ENRR,2013,43.163501739502
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2013,53.6598281860352
